"id","name","code","state_id:id","province_id:id","country_id:id","code_reniec"
"ubigeos_160109","PUTUMAYO",160109,"base.state_pe_16","ubigeos_1601","base.pe",
"ubigeos_160114","TENIENTE MANUEL CLAVERO",160114,"base.state_pe_16","ubigeos_1601","base.pe",
